지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,1,75.95,2020,1,9,330000000
41117,동수원로,매탄동,810-1,현대,1989,4,125.25,2020,1,9,400000000
41117,동수원로,매탄동,810-1,현대,1989,13,125.25,2020,1,9,395000000
41117,동수원로,매탄동,1162,임광,1990,2,74.25,2020,1,9,234000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,10,44.2,2020,1,9,228500000
41117,매탄로,매탄동,1274,우남퍼스트빌,2002,14,130.727,2020,1,9,545000000
41117,동수원로,매탄동,810-2,동남,1989,7,49.68,2020,1,10,180000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,4,103.4857,2020,1,10,700000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,14,84.975,2020,1,10,510000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,10,84.975,2020,1,10,510000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,18,84.975,2020,1,10,495000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,17,59.648,2020,1,10,380000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,8,49.8,2020,1,10,245000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,7,59.92,2020,1,10,300000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,4,84.45,2020,1,10,365000000
41117,동수원로,매탄동,1162,임광,1990,10,74.25,2020,1,10,278000000
41117,동수원로,매탄동,1162,임광,1990,5,74.25,2020,1,10,240000000
41117,인계로,매탄동,810-4,성일,1988,4,49.68,2020,1,10,177000000
41117,매영로,매탄동,810,삼성2,1989,1,84.81,2020,1,10,280000000
41117,매영로,매탄동,810,삼성2,1989,11,74.4,2020,1,10,282000000
41117,인계로,매탄동,810-3,삼성1,1988,11,67.13,2020,1,10,270000000
41117,인계로,매탄동,810-3,삼성1,1988,9,55.16,2020,1,10,226500000
41117,인계로,매탄동,810-3,삼성1,1988,7,55.16,2020,1,10,235000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,5,53.1,2020,1,10,680000000
41117,동수원로,매탄동,1162,임광,1990,10,74.25,2020,1,11,275000000
41117,매봉로,매탄동,1209,e-편한세상,2010,15,84.9675,2020,1,11,537000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,10,75.95,2020,1,11,330000000
41117,인계로,매탄동,897,매탄주공5,1985,7,83.04,2020,1,13,790000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,8,59.648,2020,1,13,388000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,16,84.975,2020,1,13,520000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,17,84.975,2020,1,13,520000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,12,59.648,2020,1,13,410000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,4,59.92,2020,1,13,300000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,3,84.51,2020,1,13,355000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,3,75.95,2020,1,13,320000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,18,84.45,2020,1,13,303000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,6,84.45,2020,1,13,390000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,7,84.45,2020,1,13,395000000
41117,동수원로,매탄동,1162,임광,1990,3,74.25,2020,1,13,250000000
41117,동수원로,매탄동,1162,임광,1990,4,84.95,2020,1,13,300000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,18,59.99,2020,1,13,214000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,4,49.94,2020,1,13,290000000
41117,인계로,매탄동,810-4,성일,1988,4,39.99,2020,1,13,156000000
41117,인계로,매탄동,810-4,성일,1988,7,49.68,2020,1,13,190000000
41117,인계로,매탄동,810-3,삼성1,1988,9,55.16,2020,1,13,209000000
41117,동수원로,매탄동,810-2,동남,1989,13,49.68,2020,1,14,200000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,6,84.51,2020,1,14,370000000
41117,동수원로,매탄동,810-1,현대,1989,15,125.25,2020,1,14,400000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,4,84.45,2020,1,14,365000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,11,84.45,2020,1,14,380000000
41117,동수원로,매탄동,1162,임광,1990,9,84.95,2020,1,14,320000000
41117,권광로290번길,매탄동,164-10,우성,1998,3,59.94,2020,1,14,165000000
41117,인계로,매탄동,810-4,성일,1988,3,49.68,2020,1,14,180000000
41117,인계로,매탄동,810-4,성일,1988,2,49.68,2020,1,14,170000000
41117,인계로,매탄동,810-4,성일,1988,6,49.68,2020,1,14,189000000
41117,인계로,매탄동,810-3,삼성1,1988,8,84.6,2020,1,14,310000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,14,185000000
41117,동수원로,매탄동,810-2,동남,1989,14,49.68,2020,1,14,190000000
41117,인계로,매탄동,897,매탄주공5,1985,3,73.92,2020,1,15,785000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,23,84.975,2020,1,15,530000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,20,84.975,2020,1,15,544000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,17,59.648,2020,1,15,400000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,8,84.51,2020,1,15,429000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,14,49.8,2020,1,15,235000000
41117,동수원로,매탄동,810-1,현대,1989,14,84.94,2020,1,15,335000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,8,84.51,2020,1,15,375000000
41117,매탄로,매탄동,1274,우남퍼스트빌,2002,15,130.727,2020,1,15,545000000
41117,매탄로,매탄동,1274,우남퍼스트빌,2002,4,101.945,2020,1,15,470000000
41117,인계로,매탄동,810-4,성일,1988,9,49.68,2020,1,15,192000000
41117,동수원로,매탄동,810-2,동남,1989,3,49.68,2020,1,16,180000000
41117,매봉로,매탄동,1209,e-편한세상,2010,5,84.8286,2020,1,16,570000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,9,59.648,2020,1,16,400000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,24,84.975,2020,1,16,550000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,2,84.51,2020,1,16,309000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,7,84.45,2020,1,16,385000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,5,84.45,2020,1,16,320000000
41117,동수원로,매탄동,1162,임광,1990,8,73.91,2020,1,16,277500000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,17,49.95,2020,1,16,179500000
41117,인계로,매탄동,810-4,성일,1988,7,49.68,2020,1,16,194000000
41117,인계로,매탄동,810-4,성일,1988,10,49.68,2020,1,16,197000000
41117,인계로,매탄동,810-4,성일,1988,8,49.68,2020,1,16,190000000
41117,동탄원천로,매탄동,1217-7,삼성3,1993,4,59.76,2020,1,16,402000000
41117,인계로,매탄동,810-3,삼성1,1988,7,55.16,2020,1,16,235000000
41117,인계로,매탄동,810-3,삼성1,1988,6,55.16,2020,1,16,229000000
41117,매봉로27번길,매탄동,50,극동,1998,5,117.65,2020,1,17,380000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,12,84.975,2020,1,17,495000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,5,84.975,2020,1,17,489500000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,19,127.908,2020,1,17,470000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,11,59.648,2020,1,17,320000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,5,84.45,2020,1,17,400000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,11,45.88,2020,1,17,235000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,13,45.88,2020,1,17,230000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,1,59.92,2020,1,17,248000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,12,84.45,2020,1,17,398000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,6,84.51,2020,1,17,390000000
41117,동수원로,매탄동,1162,임광,1990,1,84.95,2020,1,17,286000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,8,49.95,2020,1,17,168000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,8,44.2,2020,1,17,235000000
41117,인계로,매탄동,810-4,성일,1988,7,49.68,2020,1,17,183000000
41117,동수원로,매탄동,810-2,동남,1989,4,49.68,2020,1,17,182000000
41117,동수원로,매탄동,810-2,동남,1989,13,49.68,2020,1,18,192500000
41117,매봉로,매탄동,1209,e-편한세상,2010,3,59.9535,2020,1,18,450000000
41117,매봉로,매탄동,1209,e-편한세상,2010,5,84.9675,2020,1,18,560000000
41117,매봉로,매탄동,1209,e-편한세상,2010,16,59.9535,2020,1,18,468000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,5,72.9079,2020,1,18,509000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,6,59.648,2020,1,18,420000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,9,75.814,2020,1,18,450000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,19,75.814,2020,1,18,480000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,11,75.814,2020,1,18,455000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,11,84.975,2020,1,18,518000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,17,59.648,2020,1,18,410000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,10,84.99,2020,1,18,450000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,8,45.88,2020,1,18,234000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,17,84.51,2020,1,18,400000000
41117,동수원로,매탄동,810-1,현대,1989,3,84.94,2020,1,18,340000000
41117,동수원로,매탄동,810-1,현대,1989,7,84.94,2020,1,18,360000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,8,84.99,2020,1,18,448000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,8,84.99,2020,1,18,400000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,19,49.95,2020,1,18,174000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,5,49.94,2020,1,18,295000000
41117,인계로,매탄동,810-4,성일,1988,12,49.68,2020,1,18,188000000
41117,인계로,매탄동,810-4,성일,1988,8,49.68,2020,1,18,195000000
41117,매영로,매탄동,810,삼성2,1989,6,84.87,2020,1,18,320000000
41117,매영로,매탄동,810,삼성2,1989,3,84.87,2020,1,18,340000000
41117,매영로,매탄동,810,삼성2,1989,7,84.87,2020,1,18,337500000
41117,매영로,매탄동,810,삼성2,1989,6,54.66,2020,1,18,217000000
41117,인계로,매탄동,810-3,삼성1,1988,2,84.6,2020,1,18,314000000
