지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41111,정조로,정자동,2-1,뜨레모아라이프,2020,11,55.563,2020,6,10,314000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,56.072,2020,6,10,308500000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.941,2020,6,10,301500000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.941,2020,6,10,301500000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.609,2020,6,10,312000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.918,2020,6,10,300000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.918,2020,6,10,298000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.609,2020,6,10,317000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.941,2020,6,10,306000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,57.941,2020,6,10,306000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,44.535,2020,6,10,236000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,10,55.563,2020,6,10,314000000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,9,56.072,2020,6,10,308500000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,9,57.941,2020,6,10,301500000
41111,정조로,정자동,2-1,뜨레모아라이프,2020,9,57.941,2020,6,10,301500000
